ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
447,13,1035,89,4028,-2197,976,9,67,85,6989,81231
447,11,1037,91,-1586,-3540,-2319,9,67,85,6989,81236
446,15,1033,91,-122,-854,3417,9,67,85,6989,81241
447,13,1029,91,-5371,-2685,-6225,9,67,85,6989,81246
449,15,1031,87,3051,1953,2197,9,67,85,6989,81251
446,7,1035,89,3417,-2563,-3906,8,67,84,6990,81256
447,15,1041,89,366,3540,7812,8,67,84,6990,81261
447,11,1035,91,2563,1098,244,8,67,84,6990,81266
446,21,1039,68,5371,976,-854,8,67,84,6990,81271
447,13,1041,87,-1464,1708,-2441,8,67,84,6990,81276
447,7,1042,85,-2563,976,-2319,8,67,84,6990,81281
447,17,1041,91,-122,4516,-1831,8,67,84,6990,81286
448,13,1031,89,-2197,0,-3051,8,66,86,6989,81291
448,15,1035,87,-122,-4394,854,8,66,86,6989,81296
448,13,1037,89,0,6103,2075,8,66,86,6989,81301
447,9,1042,89,-1342,7690,-6103,8,66,86,6989,81306
447,11,1037,93,-3906,3173,-1220,8,66,86,6989,81311
448,5,1037,91,-610,-2807,-3906,8,66,86,6989,81316
448,11,1035,89,-2563,-1586,2319,9,67,85,6987,81321
448,19,1033,89,-1708,1586,3051,9,67,85,6987,81326
449,11,1035,91,-366,-854,-12329,9,67,85,6987,81331
447,19,1033,89,-4272,-3417,-3417,9,67,85,6987,81336
449,19,1042,91,3173,4760,2075,9,67,85,6987,81341
446,17,1029,89,-366,1220,5371,9,67,85,6987,81346
447,17,1033,91,-4760,-732,-2075,9,67,85,6987,81351
447,11,1039,91,-2075,-4028,2563,7,66,85,6990,81356
447,15,1033,91,-366,3662,6103,7,66,85,6990,81361
447,15,1033,91,-1220,-122,-366,7,66,85,6990,81366
447,13,1033,91,4638,-1464,-4150,7,66,85,6990,81371
447,15,1035,91,854,-2075,-1586,7,66,85,6990,81376
447,15,1039,89,488,4516,-2075,7,66,85,6990,81381
447,11,1033,93,244,-732,-9033,7,66,85,6990,81386
448,13,1029,91,-1342,976,-2075,8,67,85,6990,81391
447,9,1033,91,366,1586,3417,8,67,85,6990,81396
448,13,1041,89,-854,3662,-3417,8,67,85,6990,81401
447,9,1035,91,5126,1464,-488,8,67,85,6990,81406
449,13,1037,91,-1831,1464,9521,8,67,85,6990,81411
447,15,1035,91,244,6469,-3784,8,67,85,6990,81416
448,13,1033,91,610,6103,0,8,67,85,6990,81421
447,9,1033,87,2075,3784,1220,8,66,85,6986,81426
447,13,1035,91,1220,976,5859,8,66,85,6986,81431
447,7,1035,87,-610,1953,10009,8,66,85,6986,81436
448,9,1037,91,244,854,122,8,66,85,6986,81441
447,11,1042,93,4882,3173,-6103,8,66,85,6986,81446
447,13,1039,91,-366,-1953,-1953,8,66,85,6986,81451
446,11,1035,91,-732,5004,-4272,8,66,85,6986,81456
448,17,1031,89,-2441,-1586,2197,9,66,85,6987,81461
448,11,1031,91,1953,4516,0,9,66,85,6987,81466
448,13,1033,89,1831,2441,-5615,9,66,85,6987,81471
447,9,1029,87,-1464,2441,3295,9,66,85,6987,81476
448,15,1035,91,1098,-976,3906,9,66,85,6987,81481
447,13,1035,89,366,3784,-3662,9,66,85,6987,81486
448,11,1035,91,-2441,-1220,2441,9,66,85,6987,81491
447,11,1039,89,-3540,366,-8178,8,67,85,6989,81496
447,11,1037,87,-122,4516,976,8,67,85,6989,81501
449,13,1035,89,-3784,-4882,-6591,8,67,85,6989,81506
447,19,1033,89,2319,244,-8422,8,67,85,6989,81511
447,15,1035,89,244,488,-2929,8,67,85,6989,81516
447,17,1035,91,1831,2807,-3906,8,67,85,6989,81521
447,13,1033,91,-6225,3051,-1464,8,67,85,6989,81526
447,21,1037,91,-3295,-2563,-1342,8,67,86,6988,81531
447,17,1029,91,2319,2197,-5615,8,67,86,6988,81536
448,13,1035,89,1586,1831,-244,8,67,86,6988,81541
448,9,1033,91,2197,366,1708,8,67,86,6988,81546
447,5,1035,89,732,2441,1098,8,67,86,6988,81551
448,19,1035,87,122,244,3784,8,67,86,6988,81556
448,9,1033,91,-3173,122,4394,8,67,86,6988,81561
448,17,1031,91,4272,3173,-610,8,66,86,6989,81566
449,9,1033,91,3295,3295,8666,8,66,86,6989,81571
447,7,1035,89,-1220,-4028,2319,8,66,86,6989,81576
447,13,1031,91,-4150,-2075,-6103,8,66,86,6989,81581
447,11,1035,91,854,-2075,854,8,66,86,6989,81586
447,11,1039,91,2929,2319,4760,8,66,86,6989,81591
447,5,1039,91,-1220,122,-3540,7,65,85,6989,81596
448,13,1037,93,-122,122,-2929,7,65,85,6989,81601
449,9,1035,91,-4394,366,-2563,7,65,85,6989,81606
447,15,1033,89,5859,-2563,-4394,7,65,85,6989,81611
447,19,1037,91,-3295,2075,-5371,7,65,85,6989,81616
447,5,1037,87,-2929,-1586,-366,7,65,85,6989,81621
448,15,1037,91,732,1220,8422,7,65,85,6989,81626
447,13,1029,91,854,488,3051,9,66,84,6987,81631
448,17,1033,91,4516,6835,976,9,66,84,6987,81636
